racename,riderposition,ridername,riderteam
UAE Tour,22,KAJAMINI Florian Samuel,XDS Astana Team
UAE Tour,23,LEMMEN Bart,Team Visma | Lease a Bike
UAE Tour,24,ZWIEHOFF Ben,Red Bull - BORA - hansgrohe
UAE Tour,25,CHAVES Esteban,EF Education - EasyPost
UAE Tour,26,QUARTUCCI Lorenzo,Team Solution Tech - Vini Fantini
UAE Tour,27,GOOSSENS Kobe,Intermarché - Wanty
UAE Tour,28,LUTSENKO Alexey,Israel - Premier Tech
UAE Tour,29,GONZÁLEZ Roberto Carlos,Team Solution Tech - Vini Fantini
UAE Tour,30,EENKHOORN Pascal,Soudal Quick-Step
UAE Tour,31,PALZER Anton,Red Bull - BORA - hansgrohe
UAE Tour,32,BARTA Will,Movistar Team
UAE Tour,33,HOOLE Daan,Lidl - Trek
UAE Tour,34,BOUCHARD Geoffrey,Decathlon AG2R La Mondiale Team
UAE Tour,35,COLLEONI Kevin,Intermarché - Wanty
UAE Tour,36,HIRT Jan,Israel - Premier Tech
UAE Tour,37,VAN DER MEULEN Max,Bahrain - Victorious
UAE Tour,38,WILKSCH Hannes,Tudor Pro Cycling Team
UAE Tour,39,CÔTÉ Pier-André,Israel - Premier Tech
UAE Tour,40,MACKELLAR Alastair,EF Education - EasyPost
UAE Tour,41,DEBRUYNE Ramses,Alpecin - Deceuninck
UAE Tour,42,PETILLI Simone,Intermarché - Wanty
UAE Tour,43,DURBRIDGE Luke,Team Jayco AlUla
UAE Tour,44,THOMPSON Reuben,Lotto
UAE Tour,45,WALSCHEID Max,Team Jayco AlUla
UAE Tour,46,SWIFT Ben,INEOS Grenadiers
UAE Tour,47,RAISBERG Nadav,Israel - Premier Tech
UAE Tour,48,HERREGODTS Rune,UAE Team Emirates - XRG
UAE Tour,49,KIELICH Timo,Alpecin - Deceuninck
UAE Tour,50,CASTROVIEJO Jonathan,INEOS Grenadiers
UAE Tour,51,MULLEN Ryan,Red Bull - BORA - hansgrohe
UAE Tour,52,SBARAGLI Kristian,Team Solution Tech - Vini Fantini
UAE Tour,53,RICKAERT Jonas,Alpecin - Deceuninck
UAE Tour,54,GATE Aaron,XDS Astana Team
UAE Tour,55,VAN DER SANDE Tosh,Team Visma | Lease a Bike
UAE Tour,56,VAN HOECKE Gijs,Intermarché - Wanty
UAE Tour,57,ANDRESEN Tobias Lund,Team Picnic PostNL
UAE Tour,58,KUYPERS Gerben,Intermarché - Wanty
UAE Tour,59,PASQUALON Andrea,Bahrain - Victorious
UAE Tour,60,SAMUDIO Carlos,Team Solution Tech - Vini Fantini
